category,model_name,count,mean,std,min,25%,50%,75%,max
algorithm_explanation,gigachat,48.0,0.8438,0.1285,0.52,0.8,0.89,0.94,0.94
algorithm_explanation,yandexgpt-lite,48.0,0.8321,0.1263,0.49,0.815,0.85,0.94,0.94
bug_fixing,gigachat,48.0,0.8483,0.1453,0.55,0.74,0.96,0.96,0.96
bug_fixing,yandexgpt-lite,48.0,0.8454,0.1262,0.55,0.74,0.9,0.96,0.96
code_generation,gigachat,48.0,0.8879,0.0835,0.74,0.88,0.94,0.94,0.94
code_generation,yandexgpt-lite,48.0,0.8546,0.1136,0.52,0.74,0.93,0.94,0.94
testing,gigachat,48.0,0.8892,0.1192,0.23,0.8625,0.94,0.96,0.96
testing,yandexgpt-lite,48.0,0.859,0.1018,0.6,0.815,0.865,0.94,0.96
